label,exact_jaccard,minhash_estimate,absolute_error
same,0.939922,0.907859,0.032063
different,0.324528,0.329268,0.004740
different,0.349845,0.346883,0.002962
same,0.644152,0.653117,0.008965
same,0.557103,0.513550,0.043553
same,0.896389,0.910569,0.014180
same,0.491071,0.512195,0.021124
same,0.936923,0.951220,0.014296
different,0.370031,0.367209,0.002822
different,0.274605,0.268293,0.006312
different,0.339896,0.386179,0.046282
different,0.272090,0.315718,0.043628
different,0.369231,0.382114,0.012883
different,0.317386,0.292683,0.024703
different,0.322176,0.291328,0.030848
different,0.297573,0.303523,0.005950
different,0.239669,0.228997,0.010672
different,0.420195,0.449864,0.029669
different,0.207398,0.231707,0.024310
different,0.326689,0.287263,0.039426
same,0.448225,0.415989,0.032236
same,0.926680,0.933604,0.006924
different,0.279706,0.279133,0.000573
same,0.779832,0.781843,0.002011
different,0.196721,0.212737,0.016016
different,0.351598,0.418699,0.067101
different,0.301314,0.304878,0.003564
different,0.298160,0.315718,0.017559
different,0.279951,0.287263,0.007312
same,0.885214,0.903794,0.018580
same,0.821206,0.827913,0.006707
different,0.183569,0.234417,0.050849
same,0.924188,0.937669,0.013482
different,0.265786,0.242547,0.023238
different,0.226119,0.224932,0.001186
different,0.261834,0.268293,0.006458
different,0.266501,0.288618,0.022117
different,0.252081,0.310298,0.058217
same,0.381958,0.428184,0.046227
different,0.261251,0.271003,0.009751
different,0.295794,0.321138,0.025344
different,0.314249,0.360434,0.046184
same,0.966372,0.966125,0.000247
same,0.905383,0.890244,0.015139
different,0.262533,0.265583,0.003050
different,0.187576,0.189702,0.002126
same,0.924433,0.948509,0.024076
different,0.265583,0.266938,0.001355
